GEOID,population,income_median,income_poverty,education_bachelors,education_nohighschool,race_hispanic,race_white_nh,race_black_nh,race_asian_nh,race_other_nh,age_median,households,households_owneroccupied,households_renteroccupied,area_m2
36001000100,2073,45268,484.0,222,251,258,370,1236,42,17,34.7,769,280,489,2367456.0
36001000201,3125,37500,877.0,716,239,345,566,1875,104,64,33.0,1382,265,1117,615867.0
36001000202,2598,25290,716.0,113,150,413,184,1805,61,15,29.6,913,257,656,1441490.0
36001000301,3190,36964,1137.0,155,352,524,497,1805,88,43,31.0,1135,311,824,659499.0
36001000302,3496,42266,543.0,793,92,380,1916,646,358,33,32.5,1585,586,999,5097939.0
36001000401,2216,76500,138.0,1020,68,85,1731,215,105,22,67.0,938,629,309,9037500.0
36001000403,4418,77193,410.0,1756,314,320,2823,554,526,23,38.1,2119,1038,1081,3138700.0
36001000404,5194,1,0.0,15,1,998,2897,266,870,20,19.6,0,0,0,1869128.0
36001000501,3440,29579,1175.0,518,387,501,1000,1358,332,78,34.3,1494,366,1128,547290.0
36001000502,2841,56838,714.0,702,48,261,1562,582,163,204,22.2,956,321,635,777455.0
36001000600,3500,25521,2012.0,299,417,528,844,1218,626,59,25.9,1483,161,1322,506881.0
36001000700,4196,38992,1112.0,491,402,493,494,2786,100,59,34.4,1391,362,1029,1593935.0
36001000800,2216,23708,919.0,129,205,343,306,1246,152,29,32.9,845,114,731,344412.0
36001001100,1826,40972,582.0,365,253,148,875,586,107,21,35.9,979,75,904,1740188.0
36001001400,3818,51970,518.0,2350,166,357,2490,494,220,42,32.8,2871,401,2470,752787.0
36001001500,4528,22500,1859.0,994,286,575,2281,939,465,40,27.2,2268,344,1924,582402.0
36001001600,4290,54742,855.0,1369,112,469,2399,886,243,81,27.8,1789,519,1270,915228.0
36001001700,4016,70345,389.0,1680,159,290,2561,662,313,17,37.7,1857,918,939,1368040.0
36001001802,3728,64420,447.0,1526,253,200,2602,476,258,25,44.0,1945,1100,845,1909982.0
