T_train,T_test,population,population_poverty,population_white,population_black,population_hispanic,population_asian,population_age,population_nohighschool,population_renter,A_prob_trivial,A_prob_GP,T_prob_GP,T_prob_trivial,A_prob_multivariate,A_prob_CIwidth_multivariate,psi_multivariate,T_prob_multivariate,A_prob_homogeneous,A_prob_CIwidth_homogeneous,psi_homogeneous,T_prob_homogeneous
0.0,0.0,3932.0,250.0,1130.0,1928.0,481.0,198.0,39.7,319.0,2356.0,0.0,0.006894888765796266,0.006894888765796266,0.0,0.31850975556925537,0.019376395172013006,0.18999456194698142,0.0605151214852208,0.2898008287662077,0.018867818254642107,0.2216771572905156,0.0642422239013284
0.0,0.0,6275.0,483.0,3578.0,1443.0,539.0,477.0,41.2,627.0,1367.0,0.16666666666666666,0.0009034817997006107,0.0009034817997006107,0.16666666666666666,0.27037339420497525,0.018472007647158048,0.5145365002450086,0.13911698001359207,0.3673305707793076,0.020049278739819317,0.2216771572905156,0.08142879671625944
0.0,0.0,2957.0,150.0,835.0,1513.0,289.0,103.0,39.2,229.0,2207.0,0.0,0.02658871644569997,0.02658871644569997,0.0,0.3855074395587917,0.020242142995933778,0.07717575816126178,0.02975182892475655,0.25718486833311055,0.018177948537448668,0.2216771572905156,0.057012010510219494
0.0,0.0,5647.0,604.0,1584.0,2651.0,679.0,309.0,36.2,571.0,5526.0,0.0,0.0030186603145477366,0.0030186603145477366,0.0,0.4000699801722845,0.02037511513299819,0.08722609252688111,0.03489654110773518,0.2916722363320412,0.018903684928962494,0.2216771572905156,0.06465707221065434
0.0,0.0,7013.0,2675.0,1387.0,3760.0,1277.0,258.0,49.3,1049.0,6946.0,0.0,3.794977585901042e-14,3.794977585901042e-14,0.0,0.37042837862605593,0.020084290258821105,0.058173618257688256,0.021549159090006584,0.2567838524261462,0.018168673293270796,0.2216771572905156,0.05692311444393536
1.0,0.0,7282.0,1000.0,3933.0,294.0,1548.0,1107.0,36.7,232.0,5607.0,1.0,0.9999999999,0.9999999999,1.0,1.0,0.0,0.17413991008219762,0.17413991008219762,1.0,0.0,0.2216771572905156,0.2216771572905156
0.0,0.0,6545.0,520.0,5623.0,41.0,320.0,340.0,50.1,60.0,1263.0,0.0,0.0015475874270440347,0.0015475874270440347,0.0,0.24511388439942017,0.01788984043964601,0.3745479221400647,0.09180689608948285,0.2400748563026333,0.0177639907360494,0.2216771572905156,0.053219111682096774
0.0,0.0,3911.0,48.0,3388.0,44.0,207.0,190.0,59.2,24.0,1021.0,0.0,4.098620377970757e-05,4.098620377970757e-05,0.0,0.3461685855674226,0.0197860230391986,0.19490472218097288,0.06746989199779883,0.31573319074989975,0.01933101459631848,0.2216771572905156,0.0699908361877019
0.0,0.0,6782.0,958.0,3511.0,241.0,1200.0,1478.0,34.3,461.0,5472.0,0.25,0.5813687478960795,0.5813687478960795,0.25,0.4549877534698502,0.02071022304812465,0.15079630242075953,0.06861047086998151,0.4019516107472263,0.020390920962427516,0.2216771572905156,0.08910349043878898
0.0,0.0,11882.0,1455.0,9155.0,184.0,937.0,1129.0,37.5,16.0,7337.0,0.0,0.1075594899594941,0.1075594899594941,0.0,0.24016528650215774,0.01776627886926048,0.3245652816415162,0.07794931385408826,0.2259056275898944,0.017391709479459,0.2216771572905156,0.05007811734005766
0.0,0.0,7308.0,491.0,4646.0,357.0,730.0,1282.0,40.7,49.0,4354.0,0.0,0.015958283435406125,0.015958283435406125,0.0,0.33460519519469484,0.019624013536842663,0.26332825098870233,0.08811100082235233,0.2593236198369202,0.018227079062053404,0.2216771572905156,0.057486122863734834
0.0,0.0,8050.0,383.0,6601.0,72.0,463.0,619.0,43.4,323.0,3732.0,0.0,0.009382751508550221,0.009382751508550221,0.0,0.27135644900611494,0.01849308766910275,0.30280570378850835,0.08216828051884711,0.25344205320144364,0.018090596729419713,0.2216771572905156,0.056182313891567644
0.0,0.0,5040.0,145.0,3994.0,75.0,379.0,380.0,44.0,68.0,2339.0,0.0,0.45132213118420217,0.45132213118420217,0.0,0.3662295682889848,0.02003662090427386,0.2210975547310134,0.08097246201888922,0.32950140355567437,0.019548316550986104,0.2216771572905156,0.07304293446345689
0.0,0.0,7532.0,532.0,4628.0,255.0,764.0,1471.0,37.3,84.0,5365.0,0.0,0.006650035801970672,0.006650035801970672,0.0,0.32710731959278205,0.019511911852222303,0.22751055408451593,0.07442036752565467,0.2591899478679321,0.018224025003944825,0.2216771572905156,0.05745649084164012
0.0,0.0,4481.0,461.0,3230.0,96.0,368.0,564.0,32.6,92.0,4288.0,0.0,0.09241088461903606,0.09241088461903606,0.0,0.35739873702450975,0.019930999865025213,0.10379378733589435,0.0370957685048392,0.2879294212003743,0.018831561599978838,0.2216771572905156,0.0638273755920025
0.0,0.0,3221.0,81.0,2485.0,27.0,184.0,349.0,39.6,179.0,1897.0,0.0,0.004513073254651942,0.004513073254651942,0.0,0.338220837429395,0.019676077140232538,0.16837355210749289,0.05694744379475812,0.2753642561154926,0.018577849963964412,0.2216771572905156,0.06104196551509987
0.0,0.0,7494.0,585.0,5889.0,64.0,463.0,750.0,39.4,196.0,4405.0,0.0,0.000934727176266038,0.000934727176266038,0.0,0.29574953763100453,0.018980489111445818,0.267537500691143,0.07912409212836011,0.25357572517043175,0.018093746757967356,0.2216771572905156,0.05621194591366235
0.0,0.0,6351.0,771.0,4817.0,116.0,397.0,719.0,44.8,46.0,3900.0,0.0,0.00013929336479789897,0.00013929336479789897,0.0,0.3475348651215489,0.01980430640472786,0.1831760919635104,0.06366007841403103,0.27683464777436173,0.01860847654296436,0.2216771572905156,0.06136791775814167
0.0,0.0,11197.0,681.0,8492.0,263.0,870.0,954.0,40.6,28.0,7060.0,0.0,2.0768029943251152e-09,2.0768029943251152e-09,0.0,0.3167435893163604,0.01934762078411529,0.2842915421361199,0.09004752346847793,0.2978211469054939,0.019018813993301575,0.2216771572905156,0.06602014522701093
0.0,0.0,5600.0,208.0,4278.0,108.0,434.0,501.0,38.8,28.0,3002.0,0.0,2.242326187691325e-05,2.242326187691325e-05,0.0,0.3049136078111202,0.01914650848712729,0.2357107182588178,0.07187140550404661,0.24889720625584816,0.017982144851293135,0.2216771572905156,0.05517482514034756
0.0,0.0,10054.0,611.0,7554.0,185.0,631.0,1117.0,46.8,100.0,4491.0,0.0,6.120262080688527e-10,6.120262080688527e-10,0.0,0.3033640468533916,0.019119071128511834,0.306536627958959,0.09299219196642229,0.2974201309985296,0.019011431683454722,0.2216771572905156,0.0659312491607268
0.0,0.0,3852.0,112.0,3273.0,32.0,219.0,198.0,51.4,20.0,599.0,0.0,6.713669721053254e-07,6.713669721053254e-07,0.0,0.2999483479680757,0.019057681810950793,0.3571122423232361,0.10711522712402978,0.3087822483625184,0.019213894253610034,0.2216771572905156,0.06844997103877704
0.0,0.0,6617.0,408.0,5116.0,124.0,538.0,504.0,37.3,114.0,4571.0,0.0,1.933694129069677e-12,1.933694129069677e-12,0.0,0.3489178066214572,0.019822629688757087,0.2094285448966556,0.07307334852926445,0.3286993717417458,0.01953618485057406,0.2216771572905156,0.07286514233088864
0.0,0.0,9033.0,2784.0,584.0,3364.0,3861.0,919.0,40.3,1502.0,8308.0,0.0,1.3392831033868036e-06,1.3392831033868036e-06,0.0,0.3391539063931886,0.019689304136418572,0.113553257921506,0.03851203100775205,0.21547921400882236,0.017099629903725273,0.2216771572905156,0.04776681961667038
0.0,0.0,7012.0,2121.0,1452.0,1204.0,3476.0,564.0,34.8,1630.0,6598.0,0.0,2.333882391228748e-07,2.333882391228748e-07,0.0,0.3407367912424813,0.019711547762676015,0.13278716370836616,0.04524547208017875,0.2101323352492982,0.01694358880313981,0.2216771572905156,0.04658153873288203
0.0,0.0,7210.0,665.0,5546.0,205.0,561.0,539.0,42.5,59.0,4373.0,0.0,1.756013719782849e-13,1.756013719782849e-13,0.0,0.3386207241281637,0.019681756310115744,0.26371883840121746,0.08930066402565844,0.34032883304371075,0.019705838332582572,0.2216771572905156,0.0754431282531283
0.0,0.0,4964.0,2151.0,925.0,1338.0,2275.0,290.0,44.1,1520.0,4608.0,0.0,3.6841675326236144e-05,3.6841675326236144e-05,0.0,0.37775963477014846,0.020163627110828152,0.06662029233062246,0.025166457299096463,0.27937441518513567,0.018660786595122863,0.2216771572905156,0.06193092617794113
0.0,0.0,7991.0,1442.0,869.0,1271.0,4251.0,1283.0,40.6,1944.0,7346.0,0.0,1.416076025742081e-09,1.416076025742081e-09,0.0,0.3479514137660996,0.01980984482388639,0.10615495424553834,0.036936766408010684,0.22804437909370406,0.017449687150083666,0.2216771572905156,0.050552229693573
0.0,0.0,9694.0,1074.0,7188.0,410.0,978.0,585.0,44.5,204.0,5367.0,0.0,2.0162605272800797e-10,2.0162605272800797e-10,0.0,0.34421913791092523,0.019759623602867506,0.25391582114464306,0.08740268505635372,0.3327095308113889,0.019596200484508268,0.2216771572905156,0.07375410299372989
0.0,0.0,8699.0,670.0,5779.0,568.0,1273.0,568.0,43.3,453.0,6741.0,0.0,7.79731981076159e-07,7.79731981076159e-07,0.0,0.37689321358948297,0.02015450756449985,0.13343549401109414,0.05029093214474148,0.3357839860981152,0.019641129235712443,0.2216771572905156,0.0744356395019082
0.0,0.0,2276.0,520.0,434.0,686.0,820.0,224.0,34.5,362.0,1997.0,0.0,9.155307302056004e-05,9.155307302056004e-05,0.0,0.38437442724561377,0.020231000509368092,0.058787709903216925,0.022596492323130303,0.2550461168293009,0.018128248426149646,0.2216771572905156,0.05653789815670415
0.0,0.0,11110.0,380.0,8126.0,439.0,1312.0,696.0,47.4,351.0,5872.0,0.0,1.0532447459155775e-07,1.0532447459155775e-07,0.0,0.3419197893930053,0.019728012131516967,0.27583855789479894,0.09431466162185996,0.33070445127656733,0.01956639337859762,0.2216771572905156,0.07330962266230927
0.0,0.0,9382.0,899.0,4755.0,1253.0,2240.0,611.0,48.7,580.0,5466.0,0.0,0.00012115023261680196,0.00012115023261680196,0.0,0.38250828931802655,0.020212395316202923,0.15183605854739013,0.05807855101175392,0.32923405961769814,0.019544279812922515,0.2216771572905156,0.07298367041926745
