T_train,T_test,population,population_poverty,population_white,population_black,population_hispanic,population_asian,population_age,population_nohighschool,population_renter,A_prob_trivial,A_prob_GP,T_prob_GP,T_prob_trivial,A_prob_multivariate,A_prob_CIwidth_multivariate,psi_multivariate,T_prob_multivariate,A_prob_homogeneous,A_prob_CIwidth_homogeneous,psi_homogeneous,T_prob_homogeneous
0.0,0.0,3932.0,250.0,1130.0,1928.0,481.0,198.0,39.7,319.0,2356.0,0.4,0.2491406842550087,0.2491406842550087,0.4,0.42411966862019157,0.020553799784430036,0.29138308740629093,0.12358129847228443,0.4266810694031866,0.020569873485858932,0.30167530211531457,0.12871914051909183
1.0,1.0,6275.0,483.0,3578.0,1443.0,539.0,477.0,41.2,627.0,1367.0,1.0,0.9999999999018871,0.9999999999018871,1.0,1.0,0.0,0.4980436907154398,0.4980436907154398,1.0,0.0,0.30167530211531457,0.30167530211531457
0.0,0.0,2957.0,150.0,835.0,1513.0,289.0,103.0,39.2,229.0,2207.0,0.4,0.40951845060385883,0.40951845060385883,0.4,0.4631680308136736,0.02073816212088425,0.14568351471505878,0.06747594663258862,0.39900081015392924,0.020365994592468132,0.30167530211531457,0.12036868994744188
0.0,0.0,5647.0,604.0,1584.0,2651.0,679.0,309.0,36.2,571.0,5526.0,0.0,0.22003174394389421,0.22003174394389421,0.0,0.32487174804509156,0.019477396525195225,0.19318745350018435,0.06276114571898474,0.2819335673778018,0.018712744938138112,0.30167530211531457,0.08505239411514676
0.0,0.0,7013.0,2675.0,1387.0,3760.0,1277.0,258.0,49.3,1049.0,6946.0,0.3333333333333333,0.0007917137445568669,0.0007917137445568669,0.3333333333333333,0.40105922002888783,0.02038346380072369,0.21640468703817392,0.0867910949941256,0.3768566027545234,0.020154120706339883,0.30167530211531457,0.11368832949012193
0.0,0.0,7282.0,1000.0,3933.0,294.0,1548.0,1107.0,36.7,232.0,5607.0,0.0,4.0299202150208636e-07,4.0299202150208636e-07,0.0,0.22977437617253,0.01749611284971097,0.27217668274271517,0.06253922748591599,0.18782068593032675,0.016243494480711336,0.30167530211531457,0.05666086217153694
0.0,0.0,6545.0,520.0,5623.0,41.0,320.0,340.0,50.1,60.0,1263.0,0.0,0.00012608337936921473,0.00012608337936921473,0.0,0.13910979031427956,0.014392443211636328,0.4492997337455418,0.06250199174960396,0.17904401836348904,0.01594489398515321,0.30167530211531457,0.054013158331745484
0.0,0.0,3911.0,48.0,3388.0,44.0,207.0,190.0,59.2,24.0,1021.0,0.0,2.0010798711616763e-06,2.0010798711616763e-06,0.0,0.21347102086895886,0.01704153142902004,0.4010196032824158,0.08560606410116219,0.23994058871185525,0.017760591383198025,0.30167530211531457,0.07238414958937538
0.0,0.0,6782.0,958.0,3511.0,241.0,1200.0,1478.0,34.3,461.0,5472.0,0.0,5.59120131263451e-05,5.59120131263451e-05,0.0,0.25165606893231285,0.018048292331614382,0.22264129974319594,0.05602903427535345,0.21036997029435595,0.01695061629468572,0.30167530211531457,0.06346342434453958
0.0,0.0,11882.0,1455.0,9155.0,184.0,937.0,1129.0,37.5,16.0,7337.0,0.0,0.022707087382682935,0.022707087382682935,0.0,0.1272060166353992,0.013857710700420873,0.39222069752281197,0.0498928325738347,0.15257899000810154,0.014954736786861796,0.30167530211531457,0.0460293129071436
0.0,0.0,7308.0,491.0,4646.0,357.0,730.0,1282.0,40.7,49.0,4354.0,0.0,7.3223875429801e-05,7.3223875429801e-05,0.0,0.19457772317500371,0.01646418242232156,0.3821410750536577,0.07435614031558892,0.19349176343505264,0.016429238602725483,0.30167530211531457,0.058371686191094486
0.0,0.0,8050.0,383.0,6601.0,72.0,463.0,619.0,43.4,323.0,3732.0,0.0,0.001498498383560665,0.001498498383560665,0.0,0.15916524164494544,0.015214624440773542,0.40079146462495735,0.06379207031626294,0.19443694301917364,0.016459663600166947,0.30167530211531457,0.05865682352768741
0.0,0.0,5040.0,145.0,3994.0,75.0,379.0,380.0,44.0,68.0,2339.0,0.0,0.4680015707828206,0.4680015707828206,0.0,0.2609699002208092,0.01826451167787925,0.3325281369842176,0.08677983472938285,0.2646502835538752,0.018346994828648204,0.30167530211531457,0.07983845424601897
0.0,0.0,7532.0,532.0,4628.0,255.0,764.0,1471.0,37.3,84.0,5365.0,0.0,0.044493316517586035,0.044493316517586035,0.0,0.21279033088174254,0.017021700584951085,0.3416727439201123,0.0727046562320336,0.2168512017283284,0.017138975249827316,0.30167530211531457,0.0654186517954625
