Parameter,mean,2.5%,97.5%,r_hat,Model
alpha1,0.36536337312193623,0.17025028450634183,0.5693906865479849,1.0005290578378347,henri
alpha2,0.052384273967607524,-0.2405956506891576,0.34057910874848,1.0002285224273786,henri
alpha3,-0.3906362186869092,-0.7074496926547612,-0.08164356407162601,1.0003519608262321,henri
alpha4,0.4253287248646948,0.20832005494164677,0.6528838890197826,1.0014435388659237,henri
alpha5,-0.3293690824938067,-0.546628184046729,-0.1287990201109748,1.0023917653526306,henri
alpha6,-0.5446749705037429,-0.8030436796455405,-0.3015122831829523,1.002095764309152,henri
alpha1,0.4256892392283297,0.20395347907067293,0.6521745932542845,1.0003187878344746,ida
alpha2,0.1775962493882236,-0.151872834213329,0.5088806972655304,1.0001492762994333,ida
alpha3,-0.3726499407906412,-0.73348387246673,-0.020890568071724708,1.000162844653226,ida
alpha4,0.24311376163678503,-0.04922609422488649,0.5518081771219594,1.000591770046187,ida
alpha5,-0.3812790333905732,-0.6942750057963964,-0.10860798976277428,1.0031239696925895,ida
alpha6,-0.7581398900868417,-1.0672300676839424,-0.4743851278971245,1.0016756733114067,ida
alpha1,0.29735275912737485,0.06315762460060849,0.5523619036076001,1.0011159943640664,ophelia
alpha2,0.2541088530404759,-0.10366184115481968,0.6329233150511554,1.0008097605448707,ophelia
alpha3,-0.5475618042300743,-0.9743147759825721,-0.14891629938108225,1.0018067719154833,ophelia
alpha4,0.4868757615563795,0.1923591454301431,0.8376776564870654,1.0056546796218613,ophelia
alpha5,-0.13172214690371029,-0.38377095213341794,0.11696026321105944,1.0007624679027827,ophelia
alpha6,-0.2503351943702361,-0.5498600241754045,0.03216375056637908,1.000763404404179,ophelia
alpha1,0.3793236259830125,0.24910120375717987,0.507554764082228,,pooled
alpha2,0.15685096478070232,-0.038641721206517585,0.3503465018367577,,pooled
alpha3,-0.4630954413128044,-0.6768342230897691,-0.2513555973410892,,pooled
alpha4,0.41073062389037646,0.2501117952345772,0.5693431740534528,,pooled
alpha5,-0.2901840729992826,-0.4347040441226399,-0.14766015549729625,,pooled
alpha6,-0.5472441894626957,-0.7121141360138137,-0.3843758018682072,,pooled
