Parameter,Model,mean,2.5%,97.5%,r_hat
log_population,henri,0.24404546050139142,0.047204438739082186,0.45515591374318354,1.012113630346998
income_median,henri,0.10292032185012237,-0.057205326437032245,0.2621737819760134,1.002215634084728
education_bachelors_pct,henri,-0.07049831110795675,-0.2651579158056141,0.12088150477366083,1.0061481656794367
race_white_nh_pct,henri,0.36016673293119467,0.1914043491341668,0.5364327646786163,1.006297042394332
age_median,henri,-0.15552020846333475,-0.3312226419956098,0.01828303450884391,1.0004255771748398
households_renteroccupied_pct,henri,-0.3586890805939786,-0.5485042798526942,-0.18230815433535166,1.0140678373284349
population_density,henri,-0.46718992329190073,-0.6904507537127864,-0.254930557354091,1.009623092862707
population_density_land,henri,-0.46718992329190073,-0.6904507537127864,-0.254930557354091,1.009623092862707
area_m2,henri,1.0690018792294609,0.6555397759525614,1.5591811111027818,1.075287434852581
income_poverty_pct,henri,-0.008217477576860052,-0.18115618039887293,0.1679003378765095,1.0008220717918515
education_nohighschool_pct,henri,-0.15061497377171926,-0.34430435214018723,0.03970277107113589,1.0033366642159207
race_hispanic_pct,henri,-0.3471605773238564,-0.5592532311885203,-0.1452898621919174,1.0079360394323524
race_black_nh_pct,henri,-0.2896837656491476,-0.49484992900435915,-0.09829922064921047,1.0011316428095476
race_asian_nh_pct,henri,0.17957565027229797,-0.07890551131145777,0.7059081424287479,1.1682178787925555
race_other_nh_pct,henri,0.1134678421261856,-0.057047134699769464,0.3090964555140325,1.0080638304918936
households_owneroccupied_pct,henri,0.3619861942585038,0.1761756057676488,0.582362171831893,1.0260125777320241
log_population,ida,0.2857576524995782,0.06692084610443422,0.5520451875697879,1.0247903467423507
income_median,ida,0.26694454378275745,0.04280764520498026,0.5202577414535344,1.0094949109026314
education_bachelors_pct,ida,-0.06090519701457812,-0.2895317896020855,0.15810257423381824,1.0017587788636328
race_white_nh_pct,ida,0.2706971633585839,0.07358295071069323,0.47232016539350113,1.0004493907993572
age_median,ida,0.020286720301944956,-0.19177992297273322,0.23215901441610315,1.0039656747238535
households_renteroccupied_pct,ida,-0.5850330329173383,-0.8791159813874159,-0.37074624671053324,1.0542024447595213
population_density,ida,-0.587674800211723,-0.8247772007785189,-0.3613872477684309,1.0028295875304094
population_density_land,ida,-0.587674800211723,-0.8247772007785189,-0.3613872477684309,1.0028295875304094
area_m2,ida,1.1811096730579047,0.7866008436013753,1.6815939117464478,1.0143447996305193
income_poverty_pct,ida,-0.37545649979951723,-0.6055016718768554,-0.15593833292451462,1.0055958153572804
education_nohighschool_pct,ida,-0.09334354328571512,-0.2952349254968369,0.11180715628704768,1.0031042633405598
race_hispanic_pct,ida,-0.009982335946277041,-0.21885891566284416,0.20997557925912438,1.000317776433592
race_black_nh_pct,ida,-0.5538936468623694,-0.8253690406226091,-0.3183609933346636,1.0154090803233444
race_asian_nh_pct,ida,0.47196979941441713,0.1343673782590689,1.1590214457915011,1.1335564846278257
race_other_nh_pct,ida,-0.3453055934459746,-0.6513021508758952,-0.06851926555863429,1.0016735440692428
